channel_id,view_count,sub_count,video_count,created_at,created_date
UCDrswN-SqWh7Kii62h9aXGA,623721848,1780000,722,2024-02-09 06:23:27.574066+00,2024-02-09
UCdxoeijd8BEuQlARHDcz4EA,829990400,1410000,350,2024-02-09 06:23:27.574066+00,2024-02-09
UCEfetJrzg6OcXWWuX8uhdhw,901438477,1650000,1324,2024-02-09 06:23:27.574066+00,2024-02-09
UCeo3JwE3HezUWFdVcehQk9Q,359977621,2770000,702,2024-02-09 06:23:27.574066+00,2024-02-09
UCEsinqZjZ11w0T9ZvyKIr6A,2054105655,1780000,2078,2024-02-09 06:23:27.574066+00,2024-02-09
UCFsNxYnUEs4tcqyddJhW43g,959592159,1410000,1296,2024-02-09 06:23:27.574066+00,2024-02-09
UCFsXFlbI8FpNAVQ_RL3I4bw,1375818966,3510000,1212,2024-02-09 06:23:27.574066+00,2024-02-09
UCFUtqTcgJgRnmZ3tMU6P74Q,1704640449,3600000,1104,2024-02-09 06:23:27.574066+00,2024-02-09
UCFycVZXj9fRWB_OZfFKe2PA,415431020,1070000,689,2024-02-09 06:23:27.574066+00,2024-02-09
UCGbshtvS9t-8CW11W7TooQg,2083916159,6670000,9478,2024-02-09 06:23:27.574066+00,2024-02-09
UCgDbdS9sm90CG771uznT8wg,880480968,1420000,16203,2024-02-09 06:23:27.574066+00,2024-02-09
UCgdwtyqBunlRb-i-7PnCssQ,1242794576,2050000,11942,2024-02-09 06:23:27.574066+00,2024-02-09
UCGGrblndNzi86WY5lJkQJiA,296237977,1420000,1561,2024-02-09 06:23:27.574066+00,2024-02-09
UCGpNjY0Xq2GJLXh4OOX1LOA,275159352,1450000,362,2024-02-09 06:23:27.574066+00,2024-02-09
UCH3aos_uf4pGHbkANSbceEg,1143881835,2140000,448,2024-02-09 06:23:27.574066+00,2024-02-09
UCHm9SiOLG8UoBT8STWY5mVA,1289647574,5830000,870,2024-02-09 06:23:27.574066+00,2024-02-09
UCI1zO6-A3h7DHg-R_x34vLg,411358877,1360000,4921,2024-02-09 06:23:27.574066+00,2024-02-09
UCI7ktPB6toqucpkkCiolwLg,608791169,3540000,721,2024-02-09 06:23:27.574066+00,2024-02-09
